Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2015,05/01/2015,EQUINE DEATH,Saratoga Racecourse (NYRA),Main Track @ 1/25 pole,Training,Thoroughbred,,You Gotta Believe,HAROLD  (JAMES) J. BOND,,You Gotta Believe-Tr. James Bond-unseated rider-ran loose-impaled R stifle on rail-euthanized,Equine Death
2015,05/02/2015,RACING INCIDENT,Belmont Park (NYRA),Post Parade,Racing,Thoroughbred,60*,Apache Warrior,MICHAEL S. WILSON,FERNANDO JARA,Apache Warrior-Tr. Michael Wilson-unseated rider-ran loose thru training track into barn area-no injuries reported,
2015,05/02/2015,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Clear,Bettors Curse,MELISSA A. BECKWITH,MARK D. BECKWITH,Bettors Curse-Tr. Melissa Beckwith-could not stay on pace during warm-up-vet exam showed LF twisted shoe-scratched from race,Lameness
2015,05/05/2015,EQUINE DEATH,Saratoga Racecourse (NYRA),Oklahoma Training Track,Training,Thoroughbred,,Jay Bird,CHAD C. BROWN,,Jay Bird-Tr. Chad Brown-collapsed and died on the training track-sudden death-pulmonary hemorrhage,Equine Death
2015,05/08/2015,EQUINE DEATH,Aqueduct Racetrack (NYRA),Main Track,Training,Thoroughbred,,Otoy,CARLOS M. JOHNSON,,Otoy-Tr. Carlos Johnson-fell after sustaining L humeral fx while galloping-euthanized on track,Equine Death
2015,05/08/2015,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Before Race-Warm-up,Racing,Harness,Warm,Happily Ever After,JACKIE L. GREENE,FRANK J. COPPOLA JR,Happily Ever After-Tr. Jackie Rousse-bad gaited during warm-up-vet exam revealed LR lameness-scratched from race,Steward's List
2015,05/09/2015,FALL OF HORSE,Buffalo Raceway,top of the stretch..,Racing,Harness,87 degrees and overcast.,MACH STOCKN BARREL,JAMES E. CLOUSER JR,RONALD C. BEBACK JR,Mach Stockn Barrel-Tr. James Clauser  Jr.-took bad step and went down on knees-pulled up-walked off track-no injuries reported,
2015,05/09/2015,FALL OF RIDER,Belmont Park (NYRA),Main Track,Racing,Thoroughbred,82* Cloudy,Touch of Faith,MICHAEL V. PINO,LARRY MEJIAS,Touch of Faith-Tr. Michael Pino-unseated rider Larry Mejias-while on the rail-as two horses came over-no injuries to horse reported-Mejias taken to hospital-returned to race,Accident
2015,05/16/2015,EQUINE DEATH,Aqueduct Racetrack (NYRA),Stall,Other,Thoroughbred,,Mr Reid,STEVE N. KLESARIS,,Mr. Reid-Tr. Steve Klesaris-found dead in stall-previous surgery for severe colic-horse predisposed to colic,Equine Death
2015,05/16/2015,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Race,Racing,Thoroughbred,,Prime Time City,KARL M. GRUSMARK,JOEL SONE,Prime Time City-Tr. Karl Grusmark-came off track lame after racing week earlier-later diagnosis showed multiple chip fractures LF knee-euthanzied,Equine Death
